id_codedep_codecom,coddep,commune,pmun,pcap,ptot
01383,01,SAINT-PAUL-DE-VARAX,1562,21,1583
01384,01,SAINT-RAMBERT-EN-BUGEY,2188,33,2221
01385,01,SAINT-RÉMY,985,23,1008
01386,01,SAINT-SORLIN-EN-BUGEY,1127,66,1193
01387,01,SAINT-SULPICE,256,3,259
01388,01,SAINT-TRIVIER-DE-COURTES,1102,9,1111
01389,01,SAINT-TRIVIER-SUR-MOIGNANS,1834,43,1877
01390,01,SAINT-VULBAS,1246,21,1267
01391,01,SALAVRE,271,8,279
01392,01,SAMOGNAT,656,27,683
01393,01,SANDRANS,544,5,549
01396,01,SAULT-BRÉNAZ,977,13,990
01397,01,SAUVERNY,978,19,997
01398,01,SAVIGNEUX,1421,17,1438
01399,01,SÉGNY,2107,51,2158
01400,01,SEILLONNAZ,139,3,142
01401,01,SERGY,2167,71,2238
01402,01,SERMOYER,652,20,672
01403,01,SERRIÈRES-DE-BRIORD,1295,41,1336
01404,01,SERRIÈRES-SUR-AIN,135,2,137
01405,01,SERVAS,1280,29,1309
01406,01,SERVIGNAT,174,1,175
01407,01,SEYSSEL,1002,18,1020
01408,01,SIMANDRE-SUR-SURAN,661,12,673
01410,01,SONTHONNAX-LA-MONTAGNE,300,7,307
01411,01,SOUCLIN,273,6,279
01412,01,SULIGNAT,595,12,607
01415,01,TALISSIEU,499,6,505
01416,01,TENAY,1014,11,1025
01418,01,THIL,1087,27,1114
01419,01,THOIRY,6021,176,6197
01420,01,THOISSEY,1690,8,1698
01421,01,TORCIEU,729,16,745
01422,01,TOSSIAT,1355,36,1391
01423,01,TOUSSIEUX,1124,21,1145
01424,01,TRAMOYES,1776,43,1819
01425,01,LA TRANCLIÈRE,288,7,295
01426,01,VAL-REVERMONT,2538,59,2597
01427,01,TRÉVOUX,6920,164,7084
01428,01,VALEINS,126,1,127
01429,01,VANDEINS,707,13,720
01430,01,VARAMBON,619,12,631
01431,01,VAUX-EN-BUGEY,1227,30,1257
01432,01,VERJON,323,2,325
01433,01,VERNOUX,313,4,317
01434,01,VERSAILLEUX,472,10,482
01435,01,VERSONNEX,2157,69,2226
01436,01,VESANCY,481,11,492
01437,01,VESCOURS,223,5,228
01439,01,VÉSINES,99,4,103
01441,01,VIEU-D'IZENAVE,734,18,752
01443,01,VILLARS-LES-DOMBES,4978,95,5073
01444,01,VILLEBOIS,1196,17,1213
01445,01,VILLEMOTIER,615,21,636
01446,01,VILLENEUVE,1548,37,1585
01447,01,VILLEREVERSURE,1342,32,1374
01448,01,VILLES,389,8,397
01449,01,VILLETTE-SUR-AIN,759,14,773
01450,01,VILLIEU-LOYES-MOLLON,3717,67,3784
01451,01,VIRIAT,6595,150,6745
01452,01,VIRIEU-LE-GRAND,1132,24,1156
01453,01,ARVIÈRE-EN-VALROMEY,710,23,733
01454,01,VIRIGNIN,1112,21,1133
01456,01,VONGNES,71,2,73
01457,01,VONNAS,3181,59,3240
